OBJECTID,EVENT_UNIQUE_ID,REPORT_DATE,OCC_DATE,REPORT_YEAR,REPORT_MONTH,REPORT_DAY,REPORT_DOY,REPORT_DOW,REPORT_HOUR,OCC_YEAR,OCC_MONTH,OCC_DAY,OCC_DOY,OCC_DOW,OCC_HOUR,DIVISION,LOCATION_TYPE,PREMISES_TYPE,UCR_CODE,UCR_EXT,OFFENCE,CSI_CATEGORY,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,LONG_WGS84,LAT_WGS84,x,y
403945,GO-20241780140,8/14/2024 4:00:00 AM,8/14/2024 4:00:00 AM,2024,August,14,227,Wednesday ,20,2024.0,August,14.0,227.0,Wednesday ,20,D32,Ttc Bus,Transit,1420,110,Assault Bodily Harm,Assault,NSA,NSA,NSA,NSA,-79.398443952467,43.8020791168531,-8838594.35051491,5434864.3832192
31960,GO-20143540443,12/23/2014 5:00:00 AM,12/23/2014 5:00:00 AM,2014,December,23,357,Tuesday   ,21,2014.0,December,23.0,357.0,Tuesday   ,21,D41,Bar / Restaurant,Commercial,1610,100,Robbery With Weapon,Robbery,126,Dorset Park (126),126,Dorset Park (126),-79.2711342210335,43.7678637518256,-8824422.29608696,5429588.55983817
354633,GO-20231899576,8/15/2023 4:00:00 AM,8/14/2023 4:00:00 AM,2023,August,15,227,Tuesday   ,6,2023.0,August,14.0,226.0,Monday    ,8,D31,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2135,210,Theft Of Motor Vehicle,Auto Theft,022,Humbermede (22),022,Humbermede (22),-79.5430331940311,43.7413472760824,-8854689.95130853,5425501.93868998
264079,GO-20211270975,7/6/2021 4:00:00 AM,7/6/2021 4:00:00 AM,2021,July,6,187,Tuesday   ,20,2021.0,July,6.0,187.0,Tuesday   ,20,D42,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,1610,200,Robbery - Mugging,Robbery,146,Malvern East (146),132,Malvern (132),-79.2119550729467,43.8033302949002,-8817834.50346602,5435057.36531764
19582,GO-20142702069,8/14/2014 4:00:00 AM,8/14/2014 4:00:00 AM,2014,August,14,226,Thursday  ,15,2014.0,August,14.0,226.0,Thursday  ,13,D42,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2120,200,B&E,Break and Enter,116,Steeles (116),116,Steeles (116),-79.3177924939392,43.817454474013,-8829616.27127861,5437236.16365048
308538,GO-20221634183,8/24/2022 4:00:00 AM,8/3/2022 4:00:00 AM,2022,August,24,236,Wednesday ,11,2022.0,August,3.0,215.0,Wednesday ,4,D42,Convenience Stores,Commercial,1610,210,Robbery - Business,Robbery,145,Malvern West (145),132,Malvern (132),-79.2209516747056,43.8056433004249,-8818836.00061953,5435414.13459776
401202,GO-20241619007,7/25/2024 4:00:00 AM,7/24/2024 4:00:00 AM,2024,July,25,207,Thursday  ,6,2024.0,July,24.0,206.0,Wednesday ,15,D55,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,054,O'Connor-Parkview (54),054,O'Connor-Parkview (54),-79.3172412448679,43.7122185744906,-8829554.90652063,5421014.8165907
417586,GO-20242582893,11/28/2024 5:00:00 AM,11/21/2024 5:00:00 AM,2024,November,28,333,Thursday  ,8,2024.0,November,21.0,326.0,Thursday  ,0,D22,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,159,Etobicoke City Centre (159),014,Islington-City Centre West (14),-79.5275415080711,43.622795614759,-8852965.42471148,5407253.2910034
307432,GO-20221570761,8/15/2022 4:00:00 AM,11/1/2021 4:00:00 AM,2022,August,15,227,Monday    ,9,2021.0,November,1.0,305.0,Monday    ,8,D53,"Apartment (Rooming House, Condo)",Apartment,2130,210,Theft Over,Theft Over,102,Forest Hill North (102),102,Forest Hill North (102),-79.4226700091564,43.703844073403,-8841291.18284407,5419725.17279867
51838,GO-20151362630,8/9/2015 4:00:00 AM,8/9/2015 4:00:00 AM,2015,August,9,221,Sunday    ,7,2015.0,August,9.0,221.0,Sunday    ,7,D23,"Apartment (Rooming House, Condo)",Apartment,1430,100,Assault,Assault,002,Mount Olive-Silverstone-Jamestown (2),002,Mount Olive-Silverstone-Jamestown (2),-79.5870900924201,43.7536173825502,-8859594.34275983,5427392.73708173
66287,GO-201651109,1/9/2016 5:00:00 AM,1/9/2016 5:00:00 AM,2016,January,9,9,Saturday  ,18,2016.0,January,9.0,9.0,Saturday  ,15,D41,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,1420,100,Assault With Weapon,Assault,119,Wexford/Maryvale (119),119,Wexford/Maryvale (119),-79.2915797781562,43.7270449614474,-8826698.28508119,5423298.47023155
157519,GO-20181514165,8/17/2018 4:00:00 AM,7/17/2018 4:00:00 AM,2018,August,17,229,Friday    ,6,2018.0,July,17.0,198.0,Tuesday   ,9,D14,"Apartment (Rooming House, Condo)",Apartment,2120,200,B&E,Break and Enter,163,Fort York-Liberty Village (163),082,Niagara (82),-79.4052903315685,43.6362117759242,-8839356.48605028,5409316.63150551
120226,GO-20171443387,8/11/2017 4:00:00 AM,8/9/2017 4:00:00 AM,2017,August,11,223,Friday    ,23,2017.0,August,9.0,221.0,Wednesday ,22,D51,"Apartment (Rooming House, Condo)",Apartment,2120,200,B&E,Break and Enter,166,St Lawrence-East Bayfront-The Islands (166),077,Waterfront Communities-The Island (77),-79.3730218485393,43.6425205816242,-8835764.37495405,5410287.05451991
